CTDPRS_DBAR,CTDPRS_FLAG_W,CTDTMP_ITS-90,CTDTMP_FLAG_W,CTDSAL_PSS-78,CTDSAL_FLAG_W,CTDOXY_UMOL_KG,CTDOXY_FLAG_W,CTDNOBS,CTDETIME,CTDCDOMFRAW_0-5VDC,CTDCDOMFRAW_FLAG_W,CTDBEAMCP_METER,CTDBEAMCP_FLAG_W,StationID
2694,2,1.594,2,34.7454,2,202.2,2,36,7964.1,0.203,2,0.0004,2,I8S-S45
2696,2,1.5932,2,34.7454,2,202.2,2,24,7965.3,0.211,2,0.0004,2,I8S-S45
2698,2,1.5929,2,34.7452,2,202.3,2,24,7966.3,0.21,2,0.0008,2,I8S-S45
2700,2,1.5903,2,34.7451,2,202.3,2,36,7967.5,0.208,2,0.0008,2,I8S-S45
2702,2,1.5877,2,34.7449,2,202.2,2,72,7969.8,0.205,2,0.0008,2,I8S-S45
2704,2,1.587,2,34.7448,2,202.2,2,72,7972.8,0.206,2,0.0008,2,I8S-S45
2706,2,1.5865,2,34.745,2,202.3,2,60,7975.5,0.207,2,0.0008,2,I8S-S45
2708,2,1.5858,2,34.745,2,202.3,2,36,7977.5,0.21,2,0.0008,2,I8S-S45
2710,2,1.5848,2,34.7449,2,202.3,2,36,7979,0.206,2,0.0008,2,I8S-S45
2712,2,1.5841,2,34.7449,2,202.3,2,36,7980.6,0.209,2,0.0008,2,I8S-S45
2714,2,1.5825,2,34.7449,2,202.3,2,36,7982,0.208,2,0.0008,2,I8S-S45
2716,2,1.5775,2,34.7446,2,202.4,2,36,7983.6,0.209,2,0.0008,2,I8S-S45
2718,2,1.5746,2,34.7443,2,202.4,2,96,7986.3,0.207,2,0.0008,2,I8S-S45
2720,2,1.5725,2,34.7444,2,202.5,2,48,7989.3,0.205,2,0.0008,2,I8S-S45
2722,2,1.5724,2,34.7444,2,202.5,2,48,7991.3,0.204,2,0.0008,2,I8S-S45
2724,2,1.5722,2,34.7441,2,202.5,2,72,7993.8,0.211,2,0.0008,2,I8S-S45
2726,2,1.5709,2,34.7445,2,202.4,2,36,7996,0.211,2,0.0008,2,I8S-S45
2728,2,1.5658,2,34.7443,2,202.5,2,24,7997.3,0.212,2,0.0008,2,I8S-S45
2730,2,1.5594,2,34.7441,2,202.5,2,24,7998.3,0.207,2,0.0008,2,I8S-S45
2732,2,1.5576,2,34.744,2,202.6,2,24,7999.3,0.214,2,0.0008,2,I8S-S45
2734,2,1.5573,2,34.7436,2,202.6,2,84,8001.6,0.207,2,0.0008,2,I8S-S45
2736,2,1.5572,2,34.7436,2,202.6,2,72,8004.8,0.209,2,0.0008,2,I8S-S45
2738,2,1.5561,2,34.7436,2,202.6,2,36,8008.6,0.21,2,0.0008,2,I8S-S45
2740,2,1.5513,2,34.7435,2,202.6,2,24,8009.8,0.207,2,0.0008,2,I8S-S45
2742,2,1.5438,2,34.7428,2,202.7,2,36,8011.1,0.209,2,0.0008,2,I8S-S45
2744,2,1.5397,2,34.743,2,202.7,2,36,8012.6,0.204,2,0.0008,2,I8S-S45
2746,2,1.5388,2,34.7429,2,202.7,2,36,8014,0.206,2,0.0008,2,I8S-S45
2748,2,1.5358,2,34.7427,2,202.7,2,36,8015.5,0.208,2,0.0008,2,I8S-S45
2750,2,1.5284,2,34.7423,2,202.8,2,48,8017.3,0.206,2,0.0008,2,I8S-S45
2752,2,1.5262,2,34.7419,2,202.8,2,72,8019.8,0.209,2,0.0008,2,I8S-S45
2754,2,1.5244,2,34.742,2,202.8,2,84,8023.2,0.209,2,0.0008,2,I8S-S45
2756,2,1.5233,2,34.7423,2,202.8,2,36,8026.6,0.21,2,0.0008,2,I8S-S45
2758,2,1.5201,2,34.7424,2,202.8,2,24,8027.8,0.21,2,0.0008,2,I8S-S45
2760,2,1.5161,2,34.7421,2,202.8,2,24,8028.8,0.208,2,0.0008,2,I8S-S45
2762,2,1.512,2,34.7418,2,202.9,2,24,8029.8,0.21,2,0.0008,2,I8S-S45
2764,2,1.5109,2,34.7416,2,202.9,2,36,8031.1,0.206,2,0.0008,2,I8S-S45
2766,2,1.5106,2,34.741,2,203,2,96,8033.8,0.21,2,0.0008,2,I8S-S45
2768,2,1.5082,2,34.7414,2,203,2,48,8036.8,0.206,2,0.0008,2,I8S-S45
2770,2,1.5071,2,34.7416,2,203,2,36,8038.5,0.205,2,0.0008,2,I8S-S45
2772,2,1.5054,2,34.7414,2,203,2,36,8040.1,0.208,2,0.0008,2,I8S-S45
2774,2,1.5034,2,34.7411,2,203,2,60,8042.1,0.21,2,0.0008,2,I8S-S45
2776,2,1.5029,2,34.7411,2,203,2,60,8044.6,0.213,2,0.0008,2,I8S-S45
2778,2,1.5024,2,34.7412,2,203.1,2,36,8046.6,0.208,2,0.0008,2,I8S-S45
2780,2,1.5019,2,34.7411,2,203.1,2,36,8048,0.207,2,0.0008,2,I8S-S45
2782,2,1.496,2,34.7407,2,203.1,2,36,8049.5,0.207,2,0.0008,2,I8S-S45
2784,2,1.4924,2,34.7407,2,203.1,2,36,8051,0.206,2,0.0008,2,I8S-S45
2786,2,1.4917,2,34.7406,2,203.1,2,36,8052.5,0.209,2,0.0008,2,I8S-S45
2788,2,1.4925,2,34.7403,2,203.1,2,60,8056.3,0.209,2,0.0008,2,I8S-S45
2790,2,1.4905,2,34.7407,2,203.2,2,36,8059.5,0.208,2,0.0008,2,I8S-S45
2792,2,1.4897,2,34.7407,2,203.1,2,36,8061,0.204,2,0.0008,2,I8S-S45
2794,2,1.4891,2,34.7406,2,203.1,2,36,8062.5,0.206,2,0.0008,2,I8S-S45
2796,2,1.4886,2,34.7407,2,203.1,2,24,8063.8,0.2,2,0.0008,2,I8S-S45
2798,2,1.4877,2,34.7404,2,203.2,2,24,8064.8,0.207,2,0.0008,2,I8S-S45
2800,2,1.487,2,34.7402,2,203.2,2,60,8066.5,0.208,2,0.0008,2,I8S-S45
2802,2,1.4869,2,34.7403,2,203.3,2,24,8071.3,0.21,2,0.0008,2,I8S-S45
2804,2,1.4855,2,34.7405,2,203.3,2,36,8072.6,0.208,2,0.0008,2,I8S-S45
2806,2,1.479,2,34.74,2,203.3,2,24,8073.8,0.198,2,0.0008,2,I8S-S45
2808,2,1.4751,2,34.7396,2,203.2,2,84,8076.3,0.204,2,0.0008,2,I8S-S45
2810,2,1.4718,2,34.7395,2,203.3,2,36,8079.5,0.203,2,0.0008,2,I8S-S45
2812,2,1.469,2,34.7395,2,203.3,2,36,8081.1,0.21,2,0.0008,2,I8S-S45
