CTDPRS_DBAR,CTDPRS_FLAG_W,CTDTMP_ITS-90,CTDTMP_FLAG_W,CTDSAL_PSS-78,CTDSAL_FLAG_W,CTDOXY_UMOL_KG,CTDOXY_FLAG_W,CTDCDOMFRAW_0-5VDC,CTDCDOMFRAW_FLAG_W,CTDBEAMCP_METER,CTDBEAMCP_FLAG_W,StationID
316,2,14.8097,2,35.5465,2,219.2,2,0.151,1,0.0024,2,I9N-S101
318,2,14.7642,2,35.5404,2,219.6,2,0.154,1,0.0024,2,I9N-S101
320,2,14.703,2,35.5346,2,220.1,2,0.162,1,0.0024,2,I9N-S101
322,2,14.6292,2,35.5224,2,220.6,2,0.158,1,0.0024,2,I9N-S101
324,2,14.5908,2,35.5177,2,220.9,2,0.153,1,0.0024,2,I9N-S101
326,2,14.4859,2,35.5052,2,221.5,2,0.155,1,0.0024,2,I9N-S101
328,2,14.363,2,35.4863,2,221.8,2,0.158,1,0.0024,2,I9N-S101
330,2,14.2982,2,35.475,2,221.5,2,0.155,1,0.0024,2,I9N-S101
332,2,14.2711,2,35.4704,2,221.6,2,0.159,1,0.002,2,I9N-S101
334,2,14.233,2,35.4647,2,221.7,2,0.159,1,0.002,2,I9N-S101
336,2,14.1786,2,35.4599,2,221.7,2,0.155,1,0.002,2,I9N-S101
338,2,14.1288,2,35.4534,2,222.1,2,0.154,1,0.0024,2,I9N-S101
340,2,14.0489,2,35.443,2,223,2,0.156,1,0.0024,2,I9N-S101
342,2,13.9582,2,35.4299,2,223.5,2,0.153,1,0.0024,2,I9N-S101
344,2,13.922,2,35.4233,2,224,2,0.152,1,0.0024,2,I9N-S101
346,2,13.8983,2,35.4203,2,224.7,2,0.153,1,0.0024,2,I9N-S101
348,2,13.8453,2,35.4132,2,225.1,2,0.155,1,0.0024,2,I9N-S101
350,2,13.7673,2,35.4016,2,225.2,2,0.152,1,0.0024,2,I9N-S101
352,2,13.7265,2,35.395,2,225.4,2,0.155,1,0.0024,2,I9N-S101
354,2,13.7058,2,35.3915,2,225.6,2,0.154,1,0.0024,2,I9N-S101
356,2,13.6588,2,35.3842,2,225.8,2,0.157,1,0.0024,2,I9N-S101
358,2,13.6063,2,35.376,2,225.9,2,0.156,1,0.0024,2,I9N-S101
360,2,13.5719,2,35.3697,2,226.2,2,0.154,1,0.002,2,I9N-S101
362,2,13.5398,2,35.3639,2,226.1,2,0.152,1,0.002,2,I9N-S101
364,2,13.5357,2,35.3633,2,226.1,2,0.157,1,0.002,2,I9N-S101
366,2,13.5079,2,35.359,2,226.3,2,0.155,1,0.002,2,I9N-S101
368,2,13.4677,2,35.3531,2,226.5,2,0.154,1,0.002,2,I9N-S101
370,2,13.3466,2,35.3371,2,226.8,2,0.156,1,0.0016,2,I9N-S101
372,2,13.2679,2,35.3206,2,226.8,2,0.153,1,0.0016,2,I9N-S101
374,2,13.2514,2,35.317,2,227.1,2,0.152,1,0.0016,2,I9N-S101
376,2,13.2228,2,35.3123,2,227.4,2,0.155,1,0.0016,2,I9N-S101
378,2,13.1483,2,35.3018,2,227.7,2,0.156,1,0.0016,2,I9N-S101
380,2,13.0792,2,35.2918,2,227.9,2,0.154,1,0.0016,2,I9N-S101
382,2,13.0584,2,35.2867,2,228,2,0.157,1,0.0016,2,I9N-S101
384,2,13.0216,2,35.2817,2,228.4,2,0.152,1,0.0016,2,I9N-S101
386,2,12.9768,2,35.2741,2,228.5,2,0.152,1,0.0016,2,I9N-S101
388,2,12.9297,2,35.2676,2,228.7,2,0.156,1,0.0016,2,I9N-S101
390,2,12.8665,2,35.2572,2,228.9,2,0.157,1,0.0016,2,I9N-S101
392,2,12.788,2,35.2451,2,229.2,2,0.154,1,0.0016,2,I9N-S101
394,2,12.7408,2,35.2372,2,229.6,2,0.152,1,0.0016,2,I9N-S101
396,2,12.6991,2,35.229,2,229.9,2,0.155,1,0.0016,2,I9N-S101
398,2,12.6623,2,35.2246,2,229.9,2,0.152,1,0.0016,2,I9N-S101
400,2,12.5543,2,35.2054,2,230.5,2,0.161,1,0.0016,2,I9N-S101
402,2,12.4916,2,35.1973,2,230.7,2,0.159,1,0.0016,2,I9N-S101
404,2,12.4565,2,35.189,2,231,2,0.155,1,0.0016,2,I9N-S101
406,2,12.4293,2,35.1849,2,230.9,2,0.156,1,0.0016,2,I9N-S101
408,2,12.3432,2,35.1722,2,231,2,0.152,1,0.0016,2,I9N-S101
410,2,12.2971,2,35.1639,2,231.1,2,0.156,1,0.0016,2,I9N-S101
412,2,12.2484,2,35.1563,2,231.5,2,0.156,1,0.0016,2,I9N-S101
414,2,12.23,2,35.1522,2,231.6,2,0.156,1,0.0016,2,I9N-S101
416,2,12.1959,2,35.1491,2,232,2,0.157,1,0.0016,2,I9N-S101
418,2,12.1314,2,35.1375,2,232.4,2,0.155,1,0.0016,2,I9N-S101
420,2,12.0803,2,35.1292,2,232.7,2,0.154,1,0.0016,2,I9N-S101
422,2,12.0266,2,35.1191,2,232.9,2,0.154,1,0.0016,2,I9N-S101
424,2,11.9789,2,35.1118,2,232.8,2,0.155,1,0.0016,2,I9N-S101
426,2,11.9191,2,35.1024,2,232.7,2,0.155,1,0.0016,2,I9N-S101
428,2,11.8381,2,35.0891,2,233,2,0.154,1,0.0016,2,I9N-S101
430,2,11.7886,2,35.08,2,233.3,2,0.152,1,0.0016,2,I9N-S101
432,2,11.7201,2,35.0697,2,233.4,2,0.153,1,0.0016,2,I9N-S101
434,2,11.6529,2,35.058,2,233.8,2,0.154,1,0.0016,2,I9N-S101
436,2,11.597,2,35.0481,2,234,2,0.153,1,0.0016,2,I9N-S101
438,2,11.5843,2,35.0453,2,234,2,0.149,1,0.0016,2,I9N-S101
440,2,11.4947,2,35.0335,2,234.7,2,0.158,1,0.0016,2,I9N-S101
442,2,11.4546,2,35.0238,2,234.6,2,0.159,1,0.0016,2,I9N-S101
444,2,11.4001,2,35.0163,2,234.8,2,0.157,1,0.0016,2,I9N-S101
446,2,11.3832,2,35.0131,2,235,2,0.157,1,0.0016,2,I9N-S101
448,2,11.3596,2,35.01,2,235.2,2,0.152,1,0.0016,2,I9N-S101
450,2,11.3284,2,35.0042,2,235.3,2,0.154,1,0.0016,2,I9N-S101
452,2,11.3112,2,35.0019,2,235.3,2,0.15,1,0.0016,2,I9N-S101
454,2,11.2537,2,34.9933,2,235.4,2,0.154,1,0.0016,2,I9N-S101
456,2,11.2165,2,34.9853,2,235.7,2,0.153,1,0.0016,2,I9N-S101
458,2,11.2094,2,34.984,2,235.8,2,0.151,1,0.0016,2,I9N-S101
460,2,11.1862,2,34.9817,2,236.2,2,0.155,1,0.0016,2,I9N-S101
462,2,11.1562,2,34.977,2,236.5,2,0.152,1,0.0016,2,I9N-S101
464,2,11.1081,2,34.9689,2,236.7,2,0.15,1,0.0016,2,I9N-S101
466,2,11.0593,2,34.9605,2,237.1,2,0.153,1,0.0016,2,I9N-S101
468,2,11.0359,2,34.9567,2,236.9,2,0.15,1,0.0016,2,I9N-S101
470,2,10.9866,2,34.9498,2,237.1,2,0.151,1,0.0016,2,I9N-S101
472,2,10.9665,2,34.9454,2,237.2,2,0.152,1,0.0016,2,I9N-S101
474,2,10.9507,2,34.9442,2,237.4,2,0.155,1,0.0016,2,I9N-S101
476,2,10.9008,2,34.935,2,237.7,2,0.155,1,0.0016,2,I9N-S101
478,2,10.8759,2,34.9301,2,237.5,2,0.156,1,0.0016,2,I9N-S101
480,2,10.8458,2,34.926,2,237.5,2,0.157,1,0.0016,2,I9N-S101
482,2,10.8079,2,34.9202,2,237.8,2,0.152,1,0.0016,2,I9N-S101
484,2,10.7783,2,34.9153,2,237.9,2,0.155,1,0.0016,2,I9N-S101
486,2,10.7237,2,34.9071,2,238.3,2,0.156,1,0.0016,2,I9N-S101
488,2,10.713,2,34.9042,2,238.1,2,0.158,1,0.0016,2,I9N-S101
490,2,10.653,2,34.896,2,238.3,2,0.154,1,0.0016,2,I9N-S101
492,2,10.6048,2,34.8869,2,238.5,2,0.154,1,0.0016,2,I9N-S101
494,2,10.5844,2,34.8842,2,238.6,2,0.152,1,0.0016,2,I9N-S101
496,2,10.5482,2,34.8781,2,238.8,2,0.154,1,0.0016,2,I9N-S101
498,2,10.5383,2,34.8762,2,238.7,2,0.154,1,0.0016,2,I9N-S101
500,2,10.5285,2,34.8749,2,238.8,2,0.15,1,0.0016,2,I9N-S101
502,2,10.4814,2,34.869,2,239.4,2,0.158,1,0.0016,2,I9N-S101
504,2,10.4567,2,34.8633,2,239.4,2,0.152,1,0.0016,2,I9N-S101
